Country,Brand,Model,status,reason
Japan,Honda,Super-ONE,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Japan,Subaru,Trailseeker,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Japan,Suzuki,Vitara,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Japan,Toyota,Land Cruiser FJ,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,BYD,Dolphin,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,BYD,Sealion 6 DM-i,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,BYD,Sealion 7,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Cadillac,Escalade IQ,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Ferrari,12Cilindri,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Ferrari,12Cilindri Spider,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Ferrari,Amalfi,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,GMC,Acadia,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,GMC,Canyon,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,GMC,Hummer EV,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Genesis,GV60 MAGMA,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Kia,EV5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
